ID,set1,set2,set3,set4,set5,set6,set7,set8,set9,set10,set11,set12,set13,set14,set15
169,4,5,0,6,0,7,0,0,0,5,6,0,1,0,5
170,5,5,0,6,4,6,4,5,2,0,4,0,0,0,5
171,4,5,0,6,7,1,0,0,2,4,4,0,0,0,1
172,4,5,2,6,2,7,4,0,0,4,6,0,0,1,4
173,4,5,0,6,0,7,0,1,6,0,0,0,0,1,7
174,6,5,0,5,4,7,0,1,0,4,4,0,0,0,5
175,4,5,1,4,4,7,4,0,3,4,5,0,0,0,1
176,5,5,0,6,4,3,0,0,0,4,5,0,4,2,5
177,4,5,0,2,4,7,0,0,0,7,4,2,1,2,5
178,4,0,0,4,6,7,0,0,0,4,4,0,0,3,5
179,6,6,0,6,0,3,4,0,0,0,6,0,0,0,5
180,5,7,0,7,4,5,2,4,0,7,6,2,2,0,3
181,6,6,3,6,4,7,0,4,4,4,4,0,1,6,5
182,6,0,0,6,6,1,2,1,4,5,6,0,0,5,1
183,4,5,0,6,4,7,0,4,0,4,4,0,0,0,3
184,1,5,1,6,5,7,0,4,0,4,4,0,7,2,5
185,4,5,3,6,4,5,4,4,0,0,4,1,2,2,5
186,5,5,0,6,4,5,0,0,3,0,4,4,0,2,5
187,4,5,0,6,5,7,0,0,0,4,5,0,0,0,5
188,1,5,4,6,4,7,4,3,0,4,4,0,0,2,0
189,4,5,0,6,5,3,0,0,2,4,4,6,2,0,5
190,4,5,0,6,0,7,0,0,1,4,4,0,0,4,5
191,4,5,2,6,1,6,4,0,0,0,4,0,0,0,5
192,5,5,5,4,6,7,2,4,0,5,4,0,1,0,5
193,4,1,0,6,4,7,2,0,0,4,6,0,0,2,5
194,4,0,0,6,4,5,0,0,1,6,4,4,0,0,7
195,0,5,1,2,4,5,0,0,1,4,4,0,0,1,6
196,4,5,0,6,0,5,0,0,0,4,4,0,0,4,5
197,4,1,0,2,0,2,0,0,0,4,6,0,2,2,5
198,0,3,0,6,4,7,0,0,6,4,4,0,0,0,1
199,4,5,0,2,4,3,4,1,0,5,2,0,2,0,5
200,4,5,0,5,4,6,0,0,0,3,4,2,3,0,1
201,0,5,3,6,4,7,0,2,2,4,4,0,4,0,1
202,4,5,2,6,4,3,5,0,0,4,4,4,1,1,5
203,4,7,0,2,4,7,0,0,4,0,5,0,0,0,1
204,4,4,0,2,0,3,1,0,0,4,5,4,0,4,4
205,4,5,0,2,4,6,0,0,0,4,4,0,0,6,5
206,4,5,0,6,6,7,0,0,0,4,4,0,2,0,5
207,4,4,0,7,6,7,2,3,0,0,4,4,0,4,1
208,0,7,6,6,4,3,0,1,0,6,4,0,1,0,5
209,5,5,0,6,4,3,0,0,0,6,4,2,2,0,5
210,6,5,1,7,1,7,0,5,1,4,4,2,2,0,1
211,4,1,0,4,4,3,0,0,0,4,5,0,0,0,4
212,4,1,0,2,4,2,2,2,1,4,2,1,0,0,1
213,0,1,0,6,4,7,0,1,0,4,4,0,0,4,5
214,4,5,0,6,4,3,2,0,0,4,5,0,0,0,5
215,2,7,1,6,5,7,0,0,0,4,5,0,2,2,4
216,6,1,0,6,7,7,0,0,0,4,0,2,4,0,5
217,0,4,2,6,0,7,0,5,0,7,4,0,0,4,5
218,4,5,0,6,4,7,0,4,0,4,0,0,1,4,5
219,4,1,0,7,4,7,5,0,2,4,4,0,0,0,1
220,6,5,0,2,2,7,1,5,0,4,4,0,0,4,5
221,4,5,0,7,4,7,2,0,2,4,4,0,2,2,1
222,4,5,1,6,2,6,0,2,0,0,7,0,1,4,4
223,4,5,0,6,4,6,1,0,1,4,4,0,0,0,1
224,4,5,0,6,4,5,2,4,1,4,0,0,1,0,5
225,4,7,2,6,4,2,1,0,0,4,4,1,0,0,5
226,4,1,0,6,6,7,2,1,0,6,4,0,0,0,3
227,4,5,0,7,4,0,1,0,1,4,4,0,0,0,7
228,4,5,0,6,4,3,0,2,4,5,0,0,0,0,5
229,4,1,2,2,4,7,0,0,1,4,4,4,4,2,5
230,4,5,1,6,4,7,1,4,0,4,4,5,3,0,4
231,5,5,2,6,6,7,0,1,0,4,4,0,0,0,5
232,4,5,6,7,6,7,0,0,0,4,0,4,5,0,5
233,4,7,4,6,2,7,0,0,0,7,0,0,0,0,5
234,4,5,0,6,4,7,0,0,0,4,4,0,2,1,5
235,4,5,0,6,4,7,7,0,0,7,4,1,7,5,3
236,4,5,2,6,0,6,0,6,1,6,0,0,0,0,5
237,0,4,1,2,4,3,0,0,2,4,6,4,2,1,4
238,4,5,0,7,0,5,0,4,0,4,4,0,0,0,5
239,4,5,0,6,4,7,0,1,2,6,4,0,0,2,1
240,4,7,1,6,4,5,0,0,0,6,4,0,4,0,4
241,4,3,0,6,4,7,0,2,0,4,4,0,0,0,3
242,0,5,0,6,4,7,0,0,0,4,4,3,2,0,5
243,5,5,5,4,5,6,0,0,0,4,0,0,0,1,7
244,6,3,2,7,4,7,0,4,0,4,0,0,0,0,4
245,0,5,0,7,4,6,0,0,2,4,4,2,0,1,7
246,5,1,0,6,4,7,0,2,1,0,4,0,0,2,7
247,4,5,4,7,4,7,0,0,2,4,5,1,4,0,5
248,4,4,0,6,4,7,4,1,2,4,4,0,0,0,1
249,0,7,0,3,0,5,4,2,0,4,5,1,0,0,5
250,4,5,1,6,4,6,0,7,0,6,4,0,0,6,1
251,0,7,2,7,4,3,0,0,2,4,6,1,0,1,7
252,4,5,0,6,4,7,0,5,0,4,4,0,0,0,1
253,4,5,5,6,4,3,0,0,0,2,4,0,0,0,7
254,4,5,0,6,4,7,0,0,4,4,5,0,5,1,5
255,4,0,0,6,0,5,0,0,1,4,5,0,1,4,5
256,0,5,0,2,4,7,0,4,0,5,4,2,0,2,4
257,6,5,4,6,4,3,0,0,0,6,6,4,0,2,4
258,4,5,2,6,0,6,0,0,0,4,4,0,0,0,4
259,4,5,0,6,6,7,0,2,2,4,4,0,0,1,5
260,4,4,4,7,4,7,0,4,0,4,5,0,6,0,5
261,4,5,0,6,4,7,0,2,0,4,4,1,2,0,3
262,4,4,2,6,4,3,2,0,4,4,4,0,0,0,5
263,4,5,0,6,4,7,0,2,0,4,7,0,2,0,5
264,4,5,0,6,0,7,0,0,0,4,4,1,0,0,7
265,4,5,1,6,6,3,0,0,4,0,6,0,2,1,5
266,6,2,2,4,6,4,4,0,4,4,0,0,1,2,5
267,4,3,0,6,4,7,0,0,0,0,4,0,4,0,1
268,1,1,5,6,4,5,1,0,0,4,4,0,0,0,0
269,0,5,2,6,4,7,0,0,3,5,6,0,1,4,1
270,1,5,0,6,6,7,4,0,0,4,0,0,0,0,5
271,0,5,4,5,4,6,1,1,2,4,4,1,0,0,1
272,7,5,2,7,7,0,1,4,0,4,7,0,0,0,5
273,4,5,0,7,6,3,0,0,0,4,5,0,5,4,5
274,0,5,2,6,4,3,0,0,0,4,4,5,2,2,5
275,0,5,0,6,2,7,0,0,0,0,4,4,0,4,5
276,4,4,0,6,4,7,4,6,4,4,6,2,0,0,1
277,4,1,5,6,5,7,0,0,0,0,0,0,0,0,4
278,6,5,4,7,0,1,2,0,0,4,4,0,0,0,5
279,4,5,4,6,4,7,0,2,1,6,4,6,1,1,5
280,4,5,0,6,0,3,2,1,0,5,0,3,4,4,5
281,4,5,0,6,6,7,0,5,4,5,4,0,0,0,4
282,0,5,0,6,4,3,1,0,1,4,4,0,0,0,5
283,1,5,0,7,4,7,4,0,4,0,4,1,0,1,4
284,0,4,2,6,4,7,2,0,2,4,4,0,0,0,1
285,4,5,4,6,4,7,3,1,2,1,4,0,0,0,5
286,4,1,2,6,4,7,0,2,4,6,4,0,0,0,5
287,4,5,0,6,5,7,0,0,0,5,0,0,4,1,5
288,2,1,0,2,4,7,0,3,0,4,6,6,4,0,5
